key_resp.corr,key_resp.rt,,,,,seqRT,ranRT,,,,,
1,0.3456897,,,,,0.3456897,0.7584,,,,,
1,0.063604,,,,,0.063604,2.0652773,,,,,
1,0.2304721,,,,,0.2304721,0.6921188,,,,,
1,0.3112615,,,,,0.3112615,0.4343934,,,,,
1,0.067951,,,,,0.067951,0.5306212,,,,,
1,0.1132456,,,,,0.1132456,0.6802074,,,,,
1,0.3365125,,,,,0.3365125,0.5636514,,,,,
1,0.2915399,,,,,0.2915399,0.4566521,,,,,
1,0.118855,,,,,0.118855,1.1883981,,,,,
1,0.1023931,,,,,0.1023931,0.7683651,,,,,
1,0.3110847,,,,,0.3110847,3.5550337,,,,,
1,0.0243203,,,,,0.0243203,0.7860573,,,,,
1,0.3272813,,,,,0.3272813,0.8127104,,,,,
1,0.2590864,,,,,0.2590864,0.5298959,,,,,
1,0.380389,,,,,0.380389,2.6362094,,,,,
1,0.1947687,,,,,0.1947687,0.4463226,,,,,
1,0.3136961,,,,,0.3136961,0.8803286,,,,,
1,0.2571927,,,,,0.2571927,0.6923075,,,,,
1,0.2762802,,,,,0.2762802,0.5987492,,,,,
1,0.383211,,,,,0.383211,1.1402466,,,,,
1,0.2133644,,,,,0.2133644,0.686633,,,,,
1,0.2595654,,,,,0.2595654,0.4868458,,,,,
1,0.1849682,,,,,0.1849682,0.552806,,,,,
1,0.0734251,,,,,0.0734251,2.4218258,,,,,
1,0.1684484,,,,,0.1684484,1.1721858,,,,,
1,0.1271824,,,,,0.1271824,0.752398,,,,,
1,0.2226025,,,,,0.2226025,0.3270146,,,,,
1,0.2365789,,,,,0.2365789,0.5954644,,,,,
1,0.2515035,,,,,0.2515035,4.5828819,,,,,
1,0.1034309,,,,,0.1034309,2.9096543,,,,,
1,0.1695834,,,,,0.1695834,2.2865794,,,,,
1,0.5785283,,,,,0.5785283,1.1903404,,,,,
1,0.1604073,,,,,0.1604073,2.7121879,,,,,
1,0.3595558,,,,,0.3595558,1.1411671,,,,,
1,0.3761345,,,,,0.3761345,0.7408861,,,,,
1,0.4503575,,,,,0.4503575,1.337715,,,,,
1,0.3335371,,,,,0.3335371,4.2604916,,,,,
1,0.2722303,,,,,0.2722303,1.2832057,,,,,
1,0.4677522,,,,,0.4677522,0.8812459,,,,,
1,0.3486856,,,,,0.3486856,1.080274,,,,,
1,0.5731462,,,,,0.5731462,1.1775882,,,,,
1,0.2851889,,,,,0.2851889,1.9879303,,,,,
1,0.0952235,,,,,0.0952235,7.647494,,,,,
1,0.0924259,,,,,0.0924259,0.8413412,,,,,
1,0.3503343,,,,,0.3503343,2.6210819,,,,,
1,0.1989584,,,,,0.1989584,0.3899639,,,,,
1,0.1986497,,,,,0.1986497,0.8709548,,,,,
1,0.1523012,,,,,0.1523012,0.7866347,,,,,
1,0.1370508,,,,,0.1370508,1.3655707,,,,,
1,0.5568112,,,,,0.5568112,0.9869772,,,,,
1,0.5062508,,,,,0.5062508,0.4535518,,,,,
1,0.3445596,,,,,0.3445596,0.681837,,,,,
1,0.4061034,,,,,0.4061034,0.391556,,,,,
1,0.2548549,,,,,0.2548549,0.6936763,,,,,
0,0.298026,,,,,,,,,,,
1,1.4315382,,,,,,,,,,,
1,0.9837355,,,,,,,,,,,
1,0.5718194,,,,,,,,,,,
1,0.6562357,,,,,,,,,,,
1,0.9214006,,,,,,,,,,,
1,0.7693832,,,,,,,,,,,
1,0.654487,,,,,,,,,,,
1,0.6543998,,,,,,,,,,,
1,0.8512796,,,,,,,,,,,
1,0.5615045,,,,,,,,,,,
1,0.6652496,,,,,,,,,,,
1,0.617948,,,,,,,,,,,
1,0.6210944,,,,,,,,,,,
1,0.5840053,,,,,,,,,,,
1,3.7887487,,,,,,,,,,,
1,0.717481,,,,,,,,,,,
1,0.6084344,,,,,,,,,,,
0,0.5414563,,,,,,,,,,,
1,0.9888559,,,,,,,,,,,
1,0.567116,,,,,,,,,,,
1,1.0348584,,,,,,,,,,,
1,0.4842628,,,,,,,,,,,
1,0.8135512,,,,,,,,,,,
1,0.9767963,,,,,,,,,,,
1,0.6145847,,,,,,,,,,,
1,0.794205,,,,,,,,,,,
1,0.4900645,,,,,,,,,,,
1,0.5381016,,,,,,,,,,,
1,0.5189919,,,,,,,,,,,
1,0.7207212,,,,,,,,,,,
1,0.7442007,,,,,,,,,,,
1,1.0688675,,,,,,,,,,,
1,0.8257092,,,,,,,,,,,
1,0.4210111,,,,,,,,,,,
1,0.7343878,,,,,,,,,,,
1,0.9083151,,,,,,,,,,,
1,0.7111487,,,,,,,,,,,
1,0.4384914,,,,,,,,,,,
1,0.6672756,,,,,,,,,,,
1,1.2717291,,,,,,,,,,,
1,0.7915744,,,,,,,,,,,
1,0.7062416,,,,,,,,,,,
1,0.4834325,,,,,,,,,,,
1,0.6693183,,,,,,,,,,,
